index,entities,num_altered,altered_indices
5744,"['tortoise', 'sea turtle']",4,"[4244, 4323, 4425, 8039]"
5312,"['turkey', 'chicken']",4,"[1956, 8973, 11215, 12194]"
2439,['clothing'],3,"[1957, 3765, 5467]"
8069,['turkey'],3,"[1989, 2416, 13265]"
12223,['pretzel'],3,"[2087, 2786, 11136]"
4124,"['tomato', 'carrot']",3,"[2199, 9105, 12680]"
7358,"['jug', 'vase', 'teapot', 'pitcher (container)']",3,"[2229, 5041, 6284]"
3383,"['studio couch', 'loveseat']",3,"[3393, 5614, 13092]"
9560,"['cowboy hat', 'fedora']",3,"[2316, 10725, 11894]"
2370,"['carnivore', 'cat']",6,"[4632, 8190, 9465, 11082, 12631, 12672]"
4924,"['laptop', 'computer keyboard']",5,"[2429, 4666, 8974, 9445, 12165]"
2437,['horse'],3,"[2872, 6385, 8095]"
2440,['cake'],4,"[3010, 3233, 4678, 6051]"
12858,['flowerpot'],3,"[2469, 6707, 11594]"
9081,"['woman', 'girl']",3,"[2521, 5514, 12938]"
6639,['squash (plant)'],3,"[5686, 9608, 12621]"
4579,"['jeans', 'trousers', 'human body']",3,"[2530, 4218, 11191]"
4764,['carnivore'],3,"[2660, 7674, 9863]"
13315,['pig'],4,"[2670, 7276, 11670, 12628]"
7834,"['suit', 'human ear']",3,"[2687, 9337, 13020]"
5949,['cattle'],4,"[2690, 7707, 9566, 12045]"
13118,['pen'],4,"[3540, 6120, 7752, 10363]"
2750,"['wheel', 'bus']",3,"[3661, 8776, 9111]"
2758,"['cowboy hat', 'sun hat', 'fedora']",4,"[3338, 6840, 8294, 8969]"
8466,"['roller skates', 'girl', 'trousers']",4,"[2760, 3473, 7784, 8966]"
5307,"['tart', 'strawberry']",7,"[2822, 5285, 5752, 7070, 9345, 9372, 12179]"
7579,['hamburger'],3,"[2930, 3656, 8568]"
9824,"['goose', 'swan']",3,"[2940, 3417, 5463]"
3252,"['woman', 'football']",3,"[3026, 5564, 10789]"
7607,"['saucer', 'coffee cup', 'coffee (drink)']",3,"[3164, 10431, 12808]"
4812,"['eagle', 'raven']",3,"[3304, 6545, 10635]"
3459,"['coffee cup', 'bowl']",3,"[3315, 7124, 11853]"
9365,"['pastry', 'cake']",5,"[3429, 4829, 8819, 10241, 11671]"
11167,['reptile'],3,"[3443, 5768, 13328]"
10114,"['jug', 'pitcher (container)', 'strawberry']",3,"[3447, 11598, 11995]"
13259,"['tomato', 'bell pepper', 'squash (plant)']",3,"[3504, 3517, 5027]"
5986,"['coffee (drink)', 'human body', 'saucer', 'coffee cup', 'tea']",5,"[3606, 4363, 5225, 10298, 12304]"
3628,"['cocktail', 'drink', 'juice']",3,"[5834, 7181, 13313]"
11710,"['grapefruit', 'lemon (plant)']",6,"[4882, 8449, 8625, 10168, 10868, 12594]"
9063,"['sun hat', 'horse', 'sombrero']",4,"[3680, 8554, 9191, 13347]"
3686,['segway'],3,"[6466, 7569, 12298]"
3721,['ball (object)'],3,"[10244, 12603, 13073]"
7375,"['truck', 'van', 'ambulance']",3,"[3748, 5333, 10975]"
4507,"['washing machine', 'chest of drawers']",4,"[3762, 7147, 12531, 12948]"
7701,"['woman', 'volleyball (ball)', 'swimwear', 'man']",3,"[5028, 11764, 13357]"
5805,['cheese'],3,"[8107, 8383, 8389]"
3927,"['cucumber', 'squash (plant)', 'zucchini']",3,"[8435, 11563, 13337]"
7117,"['laptop', 'vase', 'flowerpot']",3,"[3973, 5042, 9156]"
4028,"['bottle', 'beer']",3,"[6361, 9130, 9491]"
6843,['suit'],3,"[4043, 9996, 10204]"
4109,['elephant'],4,"[4688, 8708, 9119, 13144]"
12011,"['miniskirt', 'jeans']",3,"[4278, 5550, 9448]"
9961,['football'],3,"[4333, 4459, 5689]"
4403,"['duck', 'swan']",3,"[5100, 5923, 8693]"
9719,"['bird', 'chicken']",3,"[4437, 6595, 12226]"
7000,['bus'],3,"[4497, 5655, 5770]"
7312,['hat'],3,"[4725, 8439, 13151]"
4809,"['pastry', 'pizza']",3,"[5091, 7644, 11030]"
12187,"['shorts', 'volleyball (ball)', 'swimwear']",3,"[5747, 12713, 12744]"
7808,"['tomato', 'bell pepper']",4,"[8457, 10387, 12735, 12837]"
7537,['chicken'],3,"[5174, 7431, 11761]"
13082,"['mouse', 'hamster']",3,"[5485, 6243, 8530]"
8029,"['cheese', 'tomato', 'pizza']",3,"[5714, 5874, 6433]"
11805,['waffle'],3,"[5802, 10294, 10347]"
7950,"['monkey', 'carnivore']",3,"[5808, 10631, 12480]"
12999,"['shorts', 'swimwear']",3,"[6003, 6693, 12926]"
9989,"['sandwich', 'bread']",3,"[6071, 9551, 11518]"
6091,['truck'],3,"[7242, 8296, 13035]"
6836,"['racket', 'table tennis racket']",3,"[6570, 11969, 12463]"
6805,['piano'],3,"[11690, 12421, 12961]"
10054,['calculator'],4,"[6983, 8856, 9297, 11510]"
7186,['cucumber'],3,"[7023, 8796, 11848]"
10633,"['shorts', 'sock']",3,"[9051, 12607, 12819]"
10978,"['person', 'guitar']",4,"[9601, 10805, 11486, 13086]"
