,index,image_id,image_path,label,entities,ratio_category,dreamsim,mse_rgb,mse_gray,ssim_rgb,ssim_gray,og_image
19,19,ae666dbde4d986ca_m0ph39_f54bdf7b_OpenImages_OpenJourney,p2p/OpenImages/SDv4/at_an_airport.jpeg,fake,"['canoe', 'boy']",bin2,0.5297672748565674,0.017082453963238,0.016429553,0.6605759199425371,0.6892169686977251,12580.0
20,20,0bf80b98b70d97f0,original/images/OpenImages/0bf80b98b70d97f0.jpg,real,['shorts'],,,,,,,
21,21,afdd2b6ab35d4986_m03y6mg_32eb542f_OpenImages_Kandinsky_2_2,"p2p/OpenImages/SDv4/basketball____+_+
.jpeg",fake,['food processor'],bin5,0.0258368253707885,0.0008944452626268,0.0007729991,0.9169533485338004,0.9324447675716788,
22,22,52c49430de9b4f36_m08pbxl_7fe64d31_OpenImages_OpenJourney,p2p/OpenImages/SDv4/sofa.jpeg,fake,['monkey'],bin5,0.0384269952774047,0.0061388538697431,0.00562681,0.5952791848825703,0.6014417252246584,
25,25,b2916bddaa2d55eb_m021mn_89c7afa6_OpenImages_StableDiffusion_v5,p2p/OpenImages/OJ/small.jpeg,fake,['cookie'],bin3,0.6042270660400391,0.0681002025807131,0.06564024,0.4066606019124462,0.5046007856165927,6947.0
26,26,8d6d26f53d3f9872,original/images/OpenImages/8d6d26f53d3f9872.jpg,real,,,,,,,,
28,28,f5fa0cf9a280d101,original/images/OpenImages/f5fa0cf9a280d101.jpg,real,['flower'],,,,,,,
29,29,10e14ddf2ff2819a,original/images/OpenImages/10e14ddf2ff2819a.jpg,real,"['tortoise', 'sea turtle']",,,,,,,
30,30,5811af6a3d6c2c3f_m0c9ph5_d65721fe_OpenImages_StableDiffusion_XL,p2p/OpenImages/OJ/wooden.jpeg,fake,['flower'],bin5,0.4875316619873047,0.0238049896603957,0.022720888,0.6937081897008973,0.7559684067046457,4174.0
31,31,4e7dce2a7f094a23_m0dftk_4d9427d7_OpenImages_Kandinsky_2_2,p2p/OpenImages/SDv4/on.jpeg,fake,['swan'],bin5,0.1241670846939086,0.0032274179777609,0.0030215227,0.8560108828689031,0.8736089760132235,
32,32,c861036dc15f8bca_m027pcv_3dde2a0c_OpenImages_StableDiffusion_v5,p2p/OpenImages/SDv5/in_the_misty_rain.jpeg,fake,['zucchini'],bin1,0.849419355392456,0.3070731521639688,0.29287803,0.2075224951185951,0.2888655659937145,13111.0
33,33,c41e3e3c39707992_m0ch_cf_8ebc71b9_OpenImages_OpenJourney,p2p/OpenImages/SDv4/on_a_rainy_day.jpeg,fake,['fish'],bin5,0.0515945553779602,0.003321716492411,0.0031818582,0.7866546720558626,0.804073301381183,
34,34,e57f506401152724_m01nq26_00e71e9d_OpenImages_StableDiffusion_v4,p2p/OpenImages/SDv5/on_a_rainy_day.jpeg,fake,['sock'],bin5,0.1720986366271972,0.0084568772541472,0.007424928,0.6449741638133674,0.6965070837122154,8382.0
35,35,a117028b816da528,original/images/OpenImages/a117028b816da528.jpg,real,"['platter', 'bowl']",,,,,,,
37,37,8b502818168a734a,original/images/OpenImages/8b502818168a734a.jpg,real,['tie'],,,,,,,
39,39,d524268ef002d153_m024g6_7289363b_OpenImages_StableDiffusion_v5,p2p/OpenImages/OJ/diverse_tray.jpeg,fake,['cocktail'],bin5,0.0215262770652771,0.0015363517779807,0.0012221938,0.8401537461792817,0.8445202792715155,
40,40,f780908e3797adb6,original/images/OpenImages/f780908e3797adb6.jpg,real,"['suit', 'dress', 'shirt']",,,,,,,
42,42,001a695ad732152b_m02wbtzl_9b6e60b8_OpenImages_StableDiffusion_v4,p2p/OpenImages/SDv5/oranges.jpeg,fake,['sun hat'],bin5,0.8414068222045898,0.2113457061638514,0.20998679,0.2139694355052713,0.2913181039161632,4903.0
44,44,e6adb7f0a5ad41e8_m01xyhv_d115deda_OpenImages_Kandinsky_2_2,p2p/OpenImages/SDv5/on_a_busy_street.jpeg,fake,['suit'],bin4,0.6481394171714783,0.1572638066756363,0.14368945,0.1599143709654261,0.2537611623441557,9189.0
46,46,645922562d3de125,original/images/OpenImages/645922562d3de125.jpg,real,['horse'],,,,,,,
48,48,81be67d8946df74c_m02jz0l_6bfa81fb_OpenImages_StableDiffusion_v5,p2p/OpenImages/OJ/middle-aged.jpeg,fake,['tap'],bin1,0.530720055103302,0.0341560219844518,0.028725294,0.4548381993970063,0.4705277448805927,2829.0
51,51,fd280d46f9488014_m01d40f_41bb8e2e_OpenImages_OpenJourney,p2p/OpenImages/SDv4/in_a_desert.jpeg,fake,['dress'],bin5,0.2602222561836242,0.0058023476469261,0.0053131743,0.6847946223973144,0.7294953120697293,4346.0
52,52,07b81f894c061c5a,original/images/OpenImages/07b81f894c061c5a.jpg,real,,,,,,,,
53,53,96255b59d9f1c4c8_m0c9ph5_530ff6cd_OpenImages_StableDiffusion_v5,p2p/OpenImages/OJ/on_a_rainy_day.jpeg,fake,['flower'],bin1,0.0590642690658569,0.0037977553361137,0.003557506,0.7686089679492847,0.7675774408731899,
54,54,89c6d8208f281215_m05z6w_52a694b2_OpenImages_OpenJourney,p2p/OpenImages/SDv4/at_dusk.jpeg,fake,['penguin'],bin4,0.1004450321197509,0.0035903932424015,0.0028977445,0.7927685824871432,0.8341654089011281,
57,57,f34a0b92a975f4e7_m0gxl3_46d7868e_OpenImages_OpenJourney,p2p/OpenImages/SDv4/sunny.jpeg,fake,['handgun'],bin5,0.8653197288513184,0.1594684512930222,0.14613032,0.1752170580589358,0.2601725965029905,9274.0
58,58,35954284dc74566f,original/images/OpenImages/35954284dc74566f.jpg,real,,,,,,,,
60,60,6a4aed4e13e31315_m039xj__3c2bc008_OpenImages_OpenJourney,p2p/OpenImages/SDv4/rabbit_playing.jpeg,fake,"['suit', 'human body', 'human ear']",bin1,0.2377780675888061,0.0233656411352454,0.02060351,0.5327402334355714,0.5797021980276127,9428.0
61,61,ec4fa472adcc9bce,original/images/OpenImages/ec4fa472adcc9bce.jpg,real,"['woman', 'scarf']",,,,,,,
62,62,f820c39c5300de83,original/images/OpenImages/f820c39c5300de83.jpg,real,"['shorts', 'volleyball (ball)', 'woman']",,,,,,,
65,65,5f37fed076b23ba7,original/images/OpenImages/5f37fed076b23ba7.jpg,real,['coffee (drink)'],,,,,,,
67,67,0889d6e03b2c4ecc,original/images/OpenImages/0889d6e03b2c4ecc.jpg,real,,,,,,,,
68,68,9856bd4e230ed3d8,original/images/OpenImages/9856bd4e230ed3d8.jpg,real,"['goose', 'swan']",,,,,,,
70,70,f832819c27315a8c_m01m2v_cb77abde_OpenImages_StableDiffusion_v4,p2p/OpenImages/SDv5/an_office.jpeg,fake,['computer keyboard'],bin5,0.1192138195037841,0.0152646131954268,0.0132289175,0.4146453216470809,0.425097135891389,
71,71,730c64e9e316a417,original/images/OpenImages/730c64e9e316a417.jpg,real,,,,,,,,
72,72,f1b7d6cc0c4fa054,original/images/OpenImages/f1b7d6cc0c4fa054.jpg,real,['monkey'],,,,,,,
75,75,8860659d997827f0_m01bl7v_0f53744b_OpenImages_OpenJourney,p2p/OpenImages/SDv4/apples.jpeg,fake,"['baseball glove', 'glove', 'boy']",bin5,0.064473807811737,0.001072304195339,0.000976724,0.8320218404835726,0.8519103944436046,
80,80,9c226d0fe33db772_m06m11_bf150c2d_OpenImages_OpenJourney,p2p/OpenImages/SDv4/curious.jpeg,fake,['rose'],bin4,0.8675265908241272,0.2206218923930249,0.20402141,0.1190665807343354,0.2112676250163572,4022.0
81,81,39cb2cc53e4b218d_m02zvsm_bb92b9fb_OpenImages_StableDiffusion_v4,p2p/OpenImages/SDv5/man.jpeg,fake,['tart'],bin5,0.6709150075912476,0.1601538312971385,0.1482021,0.2023069429064608,0.3132918764841714,8489.0
83,83,bf331f50b9113abe,original/images/OpenImages/bf331f50b9113abe.jpg,real,"['fedora', 'human body', 'sun hat']",,,,,,,
84,84,50357e02bb150f53_m01xyhv_1f14bc00_OpenImages_Kandinsky_2_2,p2p/OpenImages/SDv5/bicycle_trail.jpeg,fake,['suit'],bin5,0.1176956892013549,0.003148037192914,0.0028043704,0.8586329330679235,0.8785169603609517,
87,87,e0e3ba96aaab9f03_m027pcv_538990cc_OpenImages_Kandinsky_2_2,p2p/OpenImages/SDv4/during_a_thunderstorm.jpeg,fake,['zucchini'],bin2,0.814624547958374,0.2154044643872886,0.19995855,0.2689013150344938,0.367860743579913,7981.0
88,88,d5e7c31e225379d9,original/images/OpenImages/d5e7c31e225379d9.jpg,real,['burrito'],,,,,,,
91,91,761d8ed4cb05a785,original/images/OpenImages/761d8ed4cb05a785.jpg,real,['drink'],,,,,,,
92,92,b516db47188ef6b5_m03fj2_54a10d13_OpenImages_Kandinsky_2_2,p2p/OpenImages/SDv4/in_a_rural_area.jpeg,fake,['goldfish'],bin5,0.033210277557373,0.0023409009887272,0.0018897373,0.8411645758374298,0.8445148461377037,
96,96,ca4a95572a412288_m07r04_3c547861_OpenImages_Kandinsky_2_2,p2p/OpenImages/SDv4/cat_curled_up_on_it.jpeg,fake,['truck'],bin5,0.0173388719558715,0.0038948747810149,0.0034016874,0.7377219459637514,0.7449371972926015,
98,98,a70bc37375d50c80,original/images/OpenImages/a70bc37375d50c80.jpg,real,"['camera', 'car']",,,,,,,
99,99,5fdedcd2143479b3_m02p5f1q_b6d40b99_OpenImages_StableDiffusion_v4,p2p/OpenImages/SDv5/cat_curling_up_next_to_it.jpeg,fake,"['saucer', 'coffee cup', 'bread']",bin3,0.186154305934906,0.0143634647622133,0.012110643,0.4743997011511964,0.4959770227329491,3598.0
100,100,a479742fc8dea3a9_m01xyhv_c7051e0b_OpenImages_StableDiffusion_v5,p2p/OpenImages/SDv5/on_a_snowy_winter.jpeg,fake,['suit'],bin3,0.0940943956375122,0.0033585340164264,0.0028669236,0.767707613315424,0.7854638468449946,
101,101,fdbe948fdb1ffa29,original/images/OpenImages/fdbe948fdb1ffa29.jpg,real,['pillow'],,,,,,,
102,102,4e5b93013ad0a841_m01d40f_1705caa3_OpenImages_OpenJourney,p2p/OpenImages/SDv4/meant_for_dining.jpeg,fake,"['woman', 'dress', 'human body']",bin3,0.0199819207191467,0.0014876464781173,0.0012491776,0.7754493764690485,0.8032351997167386,
105,105,5f2c6ffc9d36ed35_m09728_59f3b122_OpenImages_OpenJourney,p2p/OpenImages/SDv4/enclosure.jpeg,fake,"['hamburger', 'bread']",bin2,0.838467538356781,0.1179043019241084,0.10321917,0.234428837412818,0.3517344072286184,109.0
106,106,a340f1ae338c5fe4,original/images/OpenImages/a340f1ae338c5fe4.jpg,real,['wine'],,,,,,,
107,107,d524268ef002d153,original/images/OpenImages/d524268ef002d153.jpg,real,['cocktail'],,,,,,,
109,109,5f2c6ffc9d36ed35,original/images/OpenImages/5f2c6ffc9d36ed35.jpg,real,"['hamburger', 'bread']",,,,,,,
111,111,f49435a0391ff427,original/images/OpenImages/f49435a0391ff427.jpg,real,['cabbage'],,,,,,,
112,112,62fa8b3f5fd71896_m0k4j_5df1f8df_OpenImages_Kandinsky_2_2,p2p/OpenImages/SDv4/nearby_it.jpeg,fake,['car'],bin5,0.2325032949447631,0.0095330986151034,0.0062629324,0.7606916931449722,0.7949209802970978,11032.0
114,114,15945566b3fba67e_m0138tl_43e1e96e_OpenImages_Kandinsky_2_2,p2p/OpenImages/SDv5/seed.jpeg,fake,['toy'],bin3,0.8189148902893066,0.0881116812653561,0.07891774,0.3180513089164524,0.3794591050570212,1835.0
115,115,e80dc2876c72adaf_m04dr76w_00af2583_OpenImages_StableDiffusion_XL,p2p/OpenImages/OJ/chicken.jpeg,fake,"['wine', 'bottle']",bin3,0.3534989953041076,0.0109624978192231,0.008803143,0.7819158222706832,0.8343860665429372,4170.0
116,116,c82226d55caf9a36_m0388q_5b8ea7b0_OpenImages_StableDiffusion_v4,p2p/OpenImages/SDv5/on_a_sunny_day.jpeg,fake,['grape'],bin2,0.1034296751022338,0.0053084314197939,0.004519378,0.7818459616860342,0.8177240797401994,
117,117,21994534b2880ace,original/images/OpenImages/21994534b2880ace.jpg,real,['toy'],,,,,,,
121,121,74b714ee6721e879_m0hf58v5_c3daf51e_OpenImages_StableDiffusion_v5,p2p/OpenImages/OJ/desk_in_a_busy_office.jpeg,fake,"['luggage and bags', 'girl']",bin1,0.7862253189086914,0.1614919999359846,0.15864332,0.1745346968432965,0.2566475309297025,8326.0
123,123,ab265fa834a808b6,original/images/OpenImages/ab265fa834a808b6.jpg,real,,,,,,,,
124,124,70e7aeeba778eba2,original/images/OpenImages/70e7aeeba778eba2.jpg,real,['car'],,,,,,,
126,126,5ec8da85254071f2_m015p6_e423169f_OpenImages_StableDiffusion_v5,p2p/OpenImages/OJ/at_a_farm.jpeg,fake,['bird'],bin4,0.4280303716659546,0.0163396781697481,0.014125492,0.6018005454245384,0.6304916594356151,11831.0
127,127,e5e1a710107a8d77,original/images/OpenImages/e5e1a710107a8d77.jpg,real,['christmas tree'],,,,,,,
130,130,c26d06f3fad20fa1_m03k3r_230f6f46_OpenImages_Kandinsky_2_2,p2p/OpenImages/SDv4/yellow.jpeg,fake,['horse'],bin4,0.0360537767410278,0.0008250057264946,0.00075148966,0.8381087379378872,0.8542303325136348,
131,131,74563583796dcea3_m08pbxl_b579067d_OpenImages_StableDiffusion_v4,p2p/OpenImages/SDv5/an_edgy_man_with.jpeg,fake,['monkey'],bin5,0.1392916440963745,0.0072890489718309,0.005600312,0.7406231152504973,0.7886196594664204,10717.0
132,132,ca428a094fb9802a,original/images/OpenImages/ca428a094fb9802a.jpg,real,"['bagel', 'doughnut']",,,,,,,
133,133,75e0688103f10177_m0hqkz_6a1822fc_OpenImages_StableDiffusion_v5,p2p/OpenImages/OJ/climbing_up_the_stairs.jpeg,fake,"['orange (fruit)', 'grapefruit', 'lemon (plant)']",bin5,0.766769528388977,0.0330301173570812,0.026385192,0.4738082714329308,0.496773543759718,13345.0
134,134,b44b71f060ba1901,original/images/OpenImages/b44b71f060ba1901.jpg,real,,,,,,,,
137,137,798953096bacd737,original/images/OpenImages/798953096bacd737.jpg,real,['handgun'],,,,,,,
138,138,e1de712fec387198_m0120dh_7f49fc3c_OpenImages_OpenJourney,p2p/OpenImages/SDv4/a_book.jpeg,fake,"['tortoise', 'sea turtle']",bin2,0.1362087726593017,0.0154478047258591,0.015016664,0.6147789572615118,0.6240489640567835,8738.0
140,140,0250969655fbe614,original/images/OpenImages/0250969655fbe614.jpg,real,,,,,,,,
143,143,1cbeb03e6efca760,original/images/OpenImages/1cbeb03e6efca760.jpg,real,['computer mouse'],,,,,,,
150,150,36c1f978fc806cf8_m01bfm9_59f8ed0d_OpenImages_StableDiffusion_v5,p2p/OpenImages/OJ/pillow.jpeg,fake,['shorts'],bin3,0.8320878744125366,0.1675905777792983,0.14617835,0.1944844420495609,0.3274397732399683,7995.0
151,151,488aa52bca36ce65,original/images/OpenImages/488aa52bca36ce65.jpg,real,['flower'],,,,,,,
154,154,a7ec446b72c5f815,original/images/OpenImages/a7ec446b72c5f815.jpg,real,"['muffin', 'cake']",,,,,,,
155,155,4426fa0e3b515179,original/images/OpenImages/4426fa0e3b515179.jpg,real,"['glove', 'hat']",,,,,,,
157,157,05a86145092ca60f_m018xm_ff8a74b9_OpenImages_StableDiffusion_v4,p2p/OpenImages/SDv5/in_the_midst_of_a_city_skyline.jpeg,fake,['ball (object)'],bin2,0.05916428565979,0.0025235717296294,0.0020671452,0.7928758631667421,0.8177002784039159,
160,160,a07eacec0f69ba3d,original/images/OpenImages/a07eacec0f69ba3d.jpg,real,"['cowboy hat', 'horse']",,,,,,,
162,162,3635c19d51895f11_m06msq_256f7985_OpenImages_Kandinsky_2_2,p2p/OpenImages/SDv4/deserted.jpeg,fake,"['dress', 'sculpture']",bin5,0.5429019927978516,0.1268071863863019,0.12165649,0.1693537228613334,0.2226813588601976,13184.0
163,163,3e7d4f598d539875,original/images/OpenImages/3e7d4f598d539875.jpg,real,['horse'],,,,,,,
165,165,73aa458152cfe0bb_m04yx4_4ea0c5c2_OpenImages_OpenJourney,p2p/OpenImages/SDv4/an_artistic.jpeg,fake,['man'],bin2,0.2129452228546142,0.0159827132801298,0.009487379,0.6526985463257102,0.6960578143422372,11524.0
167,167,7f9bf2889263646f,original/images/OpenImages/7f9bf2889263646f.jpg,real,,,,,,,,
168,168,207d46ca53c7165b,original/images/OpenImages/207d46ca53c7165b.jpg,real,['dress'],,,,,,,
170,170,6cd2310c79f0b7b2_m02p3w7d_5dbc71ae_OpenImages_OpenJourney,p2p/OpenImages/SDv4/on_a_clear_day_in_the_late_summer.jpeg,fake,['roller skates'],bin1,0.5957146883010864,0.1852978169892089,0.16945069,0.3041190509779106,0.3794316988715194,7026.0
171,171,07582e7634830689,original/images/OpenImages/07582e7634830689.jpg,real,"['suit', 'tie']",,,,,,,
173,173,f5c2136ad79bda0a,original/images/OpenImages/f5c2136ad79bda0a.jpg,real,,,,,,,,
175,175,74b714ee6721e879_m0hf58v5_1c57b3c7_OpenImages_OpenJourney,p2p/OpenImages/SDv4/on_a_foggy_day_a_photo_of_a_close_up_of_a_bird_with_a_very_big_beak_on_a_windy_day_a_photo_of_a_close_up_of_a_bird_with_a_very_big_beak_on_a_stormy_day_a_photo_of_a_close_up_of_a_bird_with_a_very_big_beak.jpeg,fake,"['luggage and bags', 'girl']",bin3,0.5346219539642334,0.0842870109545394,0.07551151,0.17253064983435,0.2842816563704604,8326.0
177,177,43363e0ce276cb3a,original/images/OpenImages/43363e0ce276cb3a.jpg,real,['pastry'],,,,,,,
178,178,daf5a001b5bba223_m0cmf2_e7bf830a_OpenImages_StableDiffusion_v5,p2p/OpenImages/OJ/on_a_boat.jpeg,fake,['fixed-wing aircraft'],bin5,0.0447537302970886,0.0035256977367291,0.0034104479,0.8194131822753978,0.8216166435197689,
179,179,ae2a6c3595f25376,original/images/OpenImages/ae2a6c3595f25376.jpg,real,['wheel'],,,,,,,
182,182,0b1ec01b1063caac,original/images/OpenImages/0b1ec01b1063caac.jpg,real,['canoe'],,,,,,,
183,183,004c0d4a277cc9a7,original/images/OpenImages/004c0d4a277cc9a7.jpg,real,['human mouth'],,,,,,,
184,184,94e41c296bd7ffb3_m09rvcxw_d6d5aff7_OpenImages_StableDiffusion_v4,p2p/OpenImages/SDv5/deserted.jpeg,fake,"['missile', 'rocket']",bin4,0.1559630632400512,0.0090853425812663,0.007824295,0.7660120923339337,0.7985775054257924,3568.0
187,187,39988dc3a63d8751,original/images/OpenImages/39988dc3a63d8751.jpg,real,"['pillow', 'chest of drawers']",,,,,,,
188,188,f1ef62ced8931449,original/images/OpenImages/f1ef62ced8931449.jpg,real,['cake'],,,,,,,
189,189,d28f907e2ab2c7a4,original/images/OpenImages/d28f907e2ab2c7a4.jpg,real,['bird'],,,,,,,
190,190,15945566b3fba67e_m0138tl_f48c03eb_OpenImages_StableDiffusion_v5,p2p/OpenImages/SDv5/a_family_of.jpeg,fake,['toy'],bin4,0.6948040723800659,0.0393118893120909,0.034080166,0.3687014231182349,0.4274272553630766,1835.0
191,191,63e6799816fd519d_m07mhn_763373d8_OpenImages_StableDiffusion_v4,p2p/OpenImages/SDv5/cameras.jpeg,fake,['trousers'],bin4,0.1595723628997802,0.008978749683052,0.007726288,0.5466192590599072,0.5779728212498856,6049.0
194,194,f49b39356ee510f4_m03d443_2c667277_OpenImages_StableDiffusion_XL,p2p/OpenImages/OJ/squirrel.jpeg,fake,['rhinoceros'],bin5,0.7484211325645447,0.1566859527552691,0.15149711,0.193969244656325,0.337837643584114,2297.0
195,195,845ec7c188738322_m09csl_5d180081_OpenImages_OpenJourney,p2p/OpenImages/SDv4/during_the_morning_on.jpeg,fake,['eagle'],bin3,0.068490982055664,0.0024712632005831,0.0017261768,0.8838346070794572,0.9144807452446144,
201,201,d95e72cd3860d2fe_m0306r_160522f3_OpenImages_OpenJourney,p2p/OpenImages/SDv4/on_a_snowy_day.jpeg,fake,['fox'],bin4,0.0627540946006774,0.0014071583702031,0.001075576,0.9022106422937564,0.9201828014518528,
202,202,204e836352f960f4_m0dbvp_985596a5_OpenImages_StableDiffusion_v4,p2p/OpenImages/SDv5/on_a_snowy_day.jpeg,fake,['goose'],bin1,0.1729066371917724,0.0145305755470527,0.009941075,0.6801015699788638,0.7242379400150057,1175.0
204,204,874bebc44b529c6e_m0bt_c3_5cdcdf9f_OpenImages_StableDiffusion_XL,p2p/OpenImages/OJ/with_the_runway_lights_on.jpeg,fake,"['person', 'guitar', 'book']",bin3,0.1324750185012817,0.0019071802640135,0.0017811938,0.9056175146766356,0.91637341581243,10691.0
205,205,564704c8859245ad,original/images/OpenImages/564704c8859245ad.jpg,real,['penguin'],,,,,,,
206,206,1fe7a99c23f64885_m03fwl_5cf9caaa_OpenImages_StableDiffusion_v4,p2p/OpenImages/SDv5/clear.jpeg,fake,"['cattle', 'goat']",bin1,0.9329236745834352,0.2266957743076517,0.21004143,0.3263305030864178,0.3970494028658854,3605.0
209,209,2646412c48fa2d2f_m015wgc_8989b74b_OpenImages_OpenJourney,p2p/OpenImages/SDv4/drone.jpeg,fake,['croissant'],bin4,0.0312148332595825,0.0029009665988216,0.0024341173,0.7719173182706408,0.7932789146934913,
210,210,6d697cd74387131d,original/images/OpenImages/6d697cd74387131d.jpg,real,['mobile phone'],,,,,,,
212,212,91b1b97ec2d2d564_m01jfm__483c6153_OpenImages_StableDiffusion_v5,p2p/OpenImages/OJ/suv.jpeg,fake,['vehicle registration plate'],bin2,0.8671694993972778,0.1128931586277663,0.1032001,0.1869987077671921,0.2912619803577866,10312.0
214,214,59dd49cb5eafc2dd,original/images/OpenImages/59dd49cb5eafc2dd.jpg,real,"['woman', 'dress', 'human body']",,,,,,,
215,215,9bddfd8a3f4f75d4,original/images/OpenImages/9bddfd8a3f4f75d4.jpg,real,,,,,,,,
216,216,8fb83431a5bf7db5_m01yrx_8cf9ea06_OpenImages_OpenJourney,p2p/OpenImages/SDv4/rural.jpeg,fake,['cat'],bin5,0.5475956201553345,0.1131576401982936,0.102045275,0.2956371588778202,0.4110420542196666,642.0
218,218,306bf91a28ef2e02_m0k4j_f52b0b72_OpenImages_Kandinsky_2_2,p2p/OpenImages/SDv5/standing.jpeg,fake,"['car', 'vehicle registration plate']",bin5,0.3685583472251892,0.0107739870276005,0.010796037,0.4827320168562314,0.503872276372043,4907.0
219,219,97bd4d44d3eba27d_m01bqk0_4bebeba5_OpenImages_StableDiffusion_v4,p2p/OpenImages/SDv5/frog_jumping_into_the_water_from.jpeg,fake,"['man', 'bicycle wheel']",bin1,0.0345813632011413,0.0018695145601739,0.0015703194,0.806189617181268,0.8203540681782238,
221,221,97bd4d44d3eba27d_m01bqk0_d7c1edac_OpenImages_Kandinsky_2_2,"p2p/OpenImages/SDv4/grassy______+
_plain.jpeg",fake,"['man', 'bicycle wheel']",bin4,0.938323974609375,0.1729067844350292,0.15125266,0.245072842557228,0.3581687930605758,2876.0
222,222,bf3b1e3bc63396dd_m0ch_cf_26223be0_OpenImages_StableDiffusion_v4,p2p/OpenImages/SDv5/rhino_calves.jpeg,fake,['fish'],bin4,0.1302266120910644,0.0143974730889949,0.010621926,0.6300383901829772,0.7141138073356423,8835.0
223,223,f3f74540844d69ae_m0h8my_4_1bb80f40_OpenImages_Kandinsky_2_2,p2p/OpenImages/SDv4/curled_up_on_a_chair.jpeg,fake,['tennis racket'],bin3,0.0301411151885986,0.0015486632135301,0.001066142,0.8074969481711234,0.9099101508171656,
224,224,866ef739d9b754c6,original/images/OpenImages/866ef739d9b754c6.jpg,real,,,,,,,,
225,225,c3151cccd094de58,original/images/OpenImages/c3151cccd094de58.jpg,real,['person'],,,,,,,
226,226,ee4b39d0dfca43b6,original/images/OpenImages/ee4b39d0dfca43b6.jpg,real,"['clothing', 'surfboard']",,,,,,,
228,228,9f4761b8473dbbeb,original/images/OpenImages/9f4761b8473dbbeb.jpg,real,"['cocktail', 'suit']",,,,,,,
229,229,5a0724e94d975c26_m04dr76w_1823e77e_OpenImages_StableDiffusion_XL,p2p/OpenImages/OJ/on_a_wooden_table.jpeg,fake,['bottle'],bin5,0.2287362217903137,0.0144114368853776,0.0127874445,0.4429295185807678,0.4575446352440471,7821.0
233,233,688e45f6ae0ab990_m0ch_cf_be911ca9_OpenImages_Kandinsky_2_2,p2p/OpenImages/SDv5/on_a_foggy_day.jpeg,fake,['fish'],bin5,0.9000968337059021,0.1103102042004953,0.09588324,0.1767940339314328,0.2585244406933036,12124.0
235,235,bf10d92b6f6af8e3_m02dl1y_b55258d5_OpenImages_StableDiffusion_v4,p2p/OpenImages/SDv5/a_platter_of_carrots.jpeg,fake,['hat'],bin3,0.092545747756958,0.0071141433569157,0.0061763916,0.7712889907487895,0.7859347876180468,
237,237,36143a1f5feaa77d,original/images/OpenImages/36143a1f5feaa77d.jpg,real,"['flowerpot', 'sculpture']",,,,,,,
239,239,453129149bc26108_m01c648_2b9a9b20_OpenImages_StableDiffusion_v5,"p2p/OpenImages/SDv5/forested_______++
_region.jpeg",fake,"['laptop', 'book']",bin5,0.321696400642395,0.0231564366253739,0.021671528,0.4374750534013216,0.4696194189599257,5508.0
241,241,261ef45576ed8302_m01cmb2_f53e5e69_OpenImages_StableDiffusion_XL,p2p/OpenImages/OJ/on_a_tropical_beach.jpeg,fake,"['shorts', 'miniskirt']",bin4,0.1948843002319336,0.0072767867367343,0.0071526375,0.5704792782172353,0.6645747320874725,12876.0
242,242,cc86fb5ec6c1930a,original/images/OpenImages/cc86fb5ec6c1930a.jpg,real,['kangaroo'],,,,,,,
246,246,617337b5e511836b,original/images/OpenImages/617337b5e511836b.jpg,real,"['bowl', 'hedgehog']",,,,,,,
