index,image_id,image_path,ratio_category,label,entities,og_image
539,4f104caa8ad41cdf_m0hnyx_95cfefe3_OpenImages_StableDiffusion_XL,p2p/ADE20K/OJ/sofa_and_a_tv.jpeg,bin2,fake,['pastry'],3838.0
554,43200d1e5c86e555_m0jg57_e046de35_OpenImages_StableDiffusion_v5,p2p/OpenImages/OJ/under_the_sun.jpeg,bin4,fake,['bell pepper'],6211.0
557,580b2fe0333192e0_m02vqfm_32b94d0d_OpenImages_OpenJourney,p2p/OpenImages/SDv4/a_lunch_box.jpeg,bin5,fake,"['coffee (drink)', 'coffee cup']",5245.0
560,16af0e13b34bbe4d_m09qck_408e71c3_OpenImages_StableDiffusion_v5,p2p/OpenImages/OJ/cooking.jpeg,bin3,fake,['banana'],10872.0
563,701d9f182fd8b979_m03hj559_cbd04d7e_OpenImages_StableDiffusion_v5,p2p/OpenImages/OJ/canal.jpeg,bin5,fake,"['coffee cup', 'bowl', 'mixing bowl']",4869.0
565,08e0a62e92643799_m0138tl_26a3f880_OpenImages_StableDiffusion_v5,p2p/OpenImages/OJ/on_a_foggy_day.jpeg,bin4,fake,['toy'],12882.0
574,6a951ffda4eb0a0b_m0c29q_3b6d8e40_OpenImages_Kandinsky_2_2,p2p/OpenImages/SDv4/ranch.jpeg,bin5,fake,"['leopard', 'cheetah', 'jaguar (animal)']",7342.0
595,05122205d3994c32_m05vtc_d52573a4_OpenImages_Kandinsky_2_2,p2p/OpenImages/SDv4/experienced.jpeg,bin3,fake,['potato'],9716.0
609,229069c3eadf0cc4_m02p5f1q_704145db_OpenImages_StableDiffusion_v5,p2p/OpenImages/OJ/with_a_monocular.jpeg,bin5,fake,['coffee cup'],5043.0
622,701d9f182fd8b979_m03hj559_cbd04d7e_OpenImages_StableDiffusion_XL,p2p/ADE20K/OJ/and_a_large_rug_on_the_floor.jpeg,bin5,fake,"['coffee cup', 'bowl', 'mixing bowl']",4869.0
634,9cb33c4f6356a3c5_m01nkt_16ff5af2_OpenImages_Kandinsky_2_2,p2p/OpenImages/SDv5/morning_fog.jpeg,bin1,fake,"['pizza', 'cheese']",11832.0
635,3d37a6b6be146c12_m03fwl_29b9b44c_OpenImages_Kandinsky_2_2,p2p/OpenImages/SDv5/pickup_truck.jpeg,bin2,fake,['goat'],285.0
638,28d5b8a619808f60_m0c9ph5_8af3740d_OpenImages_Kandinsky_2_2,p2p/OpenImages/SDv4/swimming_in_the_ocean.jpeg,bin5,fake,['flower'],10812.0
648,74b714ee6721e879_m0hf58v5_afef6879_OpenImages_OpenJourney,p2p/OpenImages/SDv4/car.jpeg,bin2,fake,"['luggage and bags', 'girl']",8326.0
659,200eaae66a594057_m0fly7_a8485f64_OpenImages_Kandinsky_2_2,p2p/OpenImages/SDv5/on_a_stormy_day.jpeg,bin3,fake,"['jeans', 'trousers']",12047.0
680,4f104caa8ad41cdf_m0hnyx_149d2b7b_OpenImages_StableDiffusion_v4,p2p/OpenImages/SDv5/a_dim.jpeg,bin2,fake,['pastry'],3838.0
683,4f7111413fecde01_m06k2mb_8e8ae3b8_OpenImages_StableDiffusion_v5,p2p/OpenImages/OJ/sand.jpeg,bin4,fake,['high heels'],2207.0
702,802539e8caa1611d_m01jfm__c569cf04_OpenImages_StableDiffusion_v4,p2p/OpenImages/SDv5/rowboat_on_a_lake.jpeg,bin2,fake,"['car', 'vehicle registration plate']",10818.0
711,f84355fd72ad8eb1_m0388q_cc66954d_OpenImages_StableDiffusion_v5,p2p/OpenImages/OJ/wooden.jpeg,bin3,fake,['grape'],7249.0
750,d1110b5eb76d4b0e_m0cyhj__3c31b4fc_OpenImages_StableDiffusion_v5,p2p/OpenImages/OJ/in_a_deep_sea_diving_cave_lighting.jpeg,bin3,fake,"['orange (fruit)', 'grapefruit']",3397.0
753,e1065d5f5dbeac8b_m050k8_ea724a27_OpenImages_StableDiffusion_XL,p2p/ADE20K/OJ/an_abstract_painting.jpeg,bin5,fake,['mobile phone'],7040.0
754,69c3fcecd632d261_m015p6_ecb85782_OpenImages_StableDiffusion_v5,p2p/OpenImages/SDv5/snow_on_the.jpeg,bin5,fake,['bird'],3198.0
788,d78a5500403a56c0_m02gzp_ab6f184a_OpenImages_StableDiffusion_v5,p2p/OpenImages/SDv5/philosopher.jpeg,bin4,fake,"['sword', 'dagger']",6313.0
817,7b4e7878bf1aecb3_m01tcjp_4d2978b0_OpenImages_OpenJourney,p2p/OpenImages/SDv4/bicycle.jpeg,bin4,fake,['muffin'],6406.0
826,dbc3c0da2f3d57d8_m09f20_997733ae_OpenImages_StableDiffusion_v4,p2p/OpenImages/SDv5/shicanco.jpeg,bin4,fake,['hippopotamus'],11881.0
834,f7dc53f11acde989_m01dwwc_3d274f30_OpenImages_StableDiffusion_XL,p2p/OpenImages/OJ/modern.jpeg,bin4,fake,['pancake'],12354.0
835,ef1c92617f2a63e3_m03bt1vf_afcadf69_OpenImages_Kandinsky_2_2,p2p/OpenImages/SDv4/row.jpeg,bin3,fake,['woman'],5240.0
843,200eaae66a594057_m0fly7_6a49ef32_OpenImages_Kandinsky_2_2,p2p/OpenImages/SDv4/a_fountain.jpeg,bin1,fake,"['jeans', 'trousers']",12047.0
844,8b286a528fde362d_m0342h_03276800_OpenImages_StableDiffusion_v4,p2p/OpenImages/SDv5/in_a_thunderstorm.jpeg,bin3,fake,"['guitar', 'human body']",6341.0
857,622e074fe98116c3_m054fyh_82839786_OpenImages_StableDiffusion_v4,p2p/OpenImages/SDv5/an_elderly.jpeg,bin5,fake,"['jug', 'pitcher (container)', 'flowerpot', 'vase']",3200.0
886,86401ad43b4f7652_m0cnyhnx_ca4b7e93_OpenImages_Kandinsky_2_2,p2p/OpenImages/SDv4/cherries_on_top.jpeg,bin5,fake,"['horse', 'bull']",8290.0
905,38776582a81af18f_m025nd_4cb0b1e7_OpenImages_OpenJourney,p2p/OpenImages/SDv4/colorful.jpeg,bin5,fake,"['christmas tree', 'toy']",995.0
949,43200d1e5c86e555_m0jg57_a275b772_OpenImages_OpenJourney,p2p/OpenImages/SDv4/on_a_sunny_day.jpeg,bin5,fake,['bell pepper'],6211.0
954,b2916bddaa2d55eb_m021mn_7a072844_OpenImages_Kandinsky_2_2,p2p/OpenImages/SDv5/on_a_clear_day.jpeg,bin2,fake,['cookie'],6947.0
964,59d728940d54f997_m01cmb2_d70bd3f1_OpenImages_StableDiffusion_v4,p2p/OpenImages/SDv5/during_a_foggy_morning.jpeg,bin4,fake,"['skirt', 'miniskirt', 'dress']",6932.0
968,b58f1f88f8fbd38a_m01h8tj_399d73c3_OpenImages_StableDiffusion_v4,p2p/OpenImages/SDv5/of_classic_cars.jpeg,bin4,fake,['starfish'],5438.0
985,8c1d24dcbaeec096_m02zn6n_e6e157d4_OpenImages_OpenJourney,p2p/OpenImages/SDv4/gymnasts.jpeg,bin3,fake,['barrel'],7134.0
987,5de7fc6ecb724cff_m07mhn_e8875a14_OpenImages_StableDiffusion_v4,p2p/OpenImages/SDv5/during_a_fireworks_show.jpeg,bin4,fake,"['tie', 'trousers']",1785.0
999,7ca419af2bf4b432_m0k5j_ea45c512_OpenImages_StableDiffusion_XL,p2p/ADE20K/OJ/mountain_range.jpeg,bin5,fake,"['aircraft', 'fixed-wing aircraft']",9241.0
1019,4f104caa8ad41cdf_m0hnyx_f33b7d78_OpenImages_StableDiffusion_v4,p2p/OpenImages/SDv5/blue.jpeg,bin3,fake,['pastry'],3838.0
1020,5c9e024962d5f0a7_m04_sv_df3b233a_OpenImages_StableDiffusion_v5,p2p/OpenImages/OJ/desert.jpeg,bin5,fake,['motorcycle'],4277.0
1024,500b6180c0d29747_m0dv77_7c88f2a8_OpenImages_StableDiffusion_v4,p2p/OpenImages/SDv5/in_a_thunderstorm.jpeg,bin3,fake,"['winter melon', 'squash (plant)']",11662.0
1048,516a2419668bd201_m0hkxq_5077f0b8_OpenImages_StableDiffusion_v5,p2p/OpenImages/OJ/with_a_fireworks_display_in_the_background.jpeg,bin2,fake,['broccoli'],5287.0
1094,18eedb7aeb04344a_m0271t_5152465c_OpenImages_StableDiffusion_XL,p2p/OpenImages/OJ/fluffy.jpeg,bin5,fake,"['drink', 'beer']",1842.0
1101,175d58a18a0bd278_m09ddx_75ab843a_OpenImages_StableDiffusion_v4,p2p/OpenImages/SDv5/desert_dune.jpeg,bin4,fake,"['goose', 'duck']",779.0
1109,05122205d3994c32_m05vtc_f1b9f1f2_OpenImages_Kandinsky_2_2,p2p/OpenImages/SDv4/during_a_thunderstorm.jpeg,bin2,fake,['potato'],9716.0
1112,2406df385f602b9b_m015x4r_c8f970ba_OpenImages_StableDiffusion_v5,p2p/OpenImages/SDv5/in_a_backyard_tree_house.jpeg,bin3,fake,"['zucchini', 'cucumber']",3270.0
1130,b755836a8af2024b_m01j51_1a34de7b_OpenImages_OpenJourney,p2p/OpenImages/SDv4/child.jpeg,bin5,fake,['balloon'],10575.0
1171,57d9906180d7a87d_m01gkx__e559119a_OpenImages_StableDiffusion_v4,p2p/OpenImages/SDv5/is_spraying_it.jpeg,bin1,fake,"['surfboard', 'swimwear']",10378.0
1193,38776582a81af18f_m025nd_4cb0b1e7_OpenImages_Kandinsky_2_2,p2p/OpenImages/SDv5/gray.jpeg,bin5,fake,"['christmas tree', 'toy']",995.0
1255,8865694899bc5737_m0dbvp_db5b17e2_OpenImages_StableDiffusion_XL,"p2p/ADE20K/OJ/compassion_+++
.jpeg",bin1,fake,['goose'],4262.0
1257,18eedb7aeb04344a_m0271t_5152465c_OpenImages_Kandinsky_2_2,p2p/OpenImages/SDv5/with_fairy_lights_strung_across_the_railing_and_a_candle_lit_on_the_table.jpeg,bin5,fake,"['drink', 'beer']",1842.0
1272,591039865a4d874a_m050k8_6d432a32_OpenImages_Kandinsky_2_2,p2p/OpenImages/SDv4/milk_on_a_rainy_day.jpeg,bin5,fake,"['mobile phone', 'ipod']",2013.0
1307,bcb52a962e3bed87_m07clx_38883a42_OpenImages_StableDiffusion_v4,"p2p/OpenImages/SDv5/hazelnut_breads,_and_cheddar.jpeg",bin5,fake,"['tea', 'coffee (drink)', 'coffee cup', 'mug']",8222.0
1320,9157d7a27084111b_m026qbn5_a304e722_OpenImages_StableDiffusion_v5,p2p/OpenImages/OJ/wreath.jpeg,bin2,fake,"['studio couch', 'sofa bed', 'couch']",3288.0
1328,fd280d46f9488014_m01d40f_41bb8e2e_OpenImages_StableDiffusion_XL,"p2p/ADE20K/OJ/man's____++
_portrait.jpeg",bin5,fake,['dress'],4346.0
1340,4211b2a300991531_m0cmf2_24614f5b_OpenImages_StableDiffusion_v5,p2p/OpenImages/OJ/on_a_hot_day.jpeg,bin4,fake,['fixed-wing aircraft'],7914.0
1346,77342c4f2ac0f91b_m09ddx_3abe9daf_OpenImages_OpenJourney,p2p/OpenImages/SDv4/black_and_white.jpeg,bin4,fake,"['goose', 'duck', 'swan']",4755.0
1350,f9cf7cec793a2988_m0l515_80b648a7_OpenImages_Kandinsky_2_2,p2p/OpenImages/SDv4/illuminated_by_firelight.jpeg,bin4,fake,"['coffee (drink)', 'coffee cup', 'mug', 'sandwich']",5936.0
1384,4f7111413fecde01_m06k2mb_8e8ae3b8_OpenImages_Kandinsky_2_2,p2p/OpenImages/SDv5/laptop.jpeg,bin4,fake,['high heels'],2207.0
1393,18eedb7aeb04344a_m01599_90771dd1_OpenImages_OpenJourney,"p2p/OpenImages/SDv4/silvery_______+
.jpeg",bin5,fake,"['drink', 'beer']",1842.0
1414,1c68ec73964a0332_m01x_v_5a8585bc_OpenImages_OpenJourney,p2p/OpenImages/SDv4/in_a_courtyard.jpeg,bin4,fake,['camel'],5876.0
1425,16af0e13b34bbe4d_m09qck_87ec5d99_OpenImages_StableDiffusion_v5,p2p/OpenImages/OJ/park.jpeg,bin3,fake,['banana'],10872.0
1434,b58f1f88f8fbd38a_m01h8tj_399d73c3_OpenImages_StableDiffusion_XL,p2p/OpenImages/OJ/on_a_snowy_day.jpeg,bin4,fake,['starfish'],5438.0
1453,5de7fc6ecb724cff_m07mhn_a228a16a_OpenImages_StableDiffusion_XL,p2p/ADE20K/OJ/vintage.jpeg,bin4,fake,"['tie', 'trousers']",1785.0
1455,764b7a05c634c23f_m06k2mb_0fe393d6_OpenImages_StableDiffusion_v5,p2p/OpenImages/OJ/on_a_foggy_day.jpeg,bin5,fake,"['high heels', 'boot']",3805.0
1473,6a3f4cc422ca16d1_m0271t_63991dae_OpenImages_StableDiffusion_v4,p2p/OpenImages/SDv5/a_upbeat_tune_on.jpeg,bin5,fake,"['drink', 'orange (fruit)', 'grapefruit']",11780.0
1535,c698f4f101a2d16d_m01yx86_cffae025_OpenImages_StableDiffusion_XL,p2p/ADE20K/OJ/flowers_in_full_bloom_amongst_the_trees.jpeg,bin5,fake,"['bust', 'bronze sculpture']",1444.0
1539,f722edf6695264e1_m03s_tn_9963884b_OpenImages_StableDiffusion_v5,p2p/OpenImages/SDv5/furry.jpeg,bin5,fake,"['teapot', 'mug', 'kettle', 'saucer', 'coffee cup']",8027.0
1567,bd3607a4b241c06d_m0174k2_586fbd1b_OpenImages_Kandinsky_2_2,p2p/OpenImages/SDv5/on_a_wooden_table.jpeg,bin5,fake,['washing machine'],2819.0
1579,df6a51c635afe963_m02p5f1q_8ee3aa8d_OpenImages_StableDiffusion_XL,p2p/ADE20K/OJ/scenic.jpeg,bin4,fake,"['coffee cup', 'bowl', 'mug', 'mixing bowl']",8080.0
1594,ddb2047a165799b4_m024g6_d284a514_OpenImages_Kandinsky_2_2,p2p/OpenImages/SDv4/in_a_forest_with_mushrooms.jpeg,bin4,fake,"['cocktail', 'juice']",6022.0
1603,e6e6865c1f6b8e87_m07j87_b26cac97_OpenImages_Kandinsky_2_2,p2p/OpenImages/SDv4/painting.jpeg,bin2,fake,"['tomato', 'pizza']",10107.0
1604,2646412c48fa2d2f_m015wgc_d0623c87_OpenImages_StableDiffusion_v5,p2p/OpenImages/OJ/on_a_snowy_day.jpeg,bin4,fake,['croissant'],4216.0
1611,e6e6865c1f6b8e87_m07j87_f76a6401_OpenImages_Kandinsky_2_2,p2p/OpenImages/SDv4/an_experienced.jpeg,bin1,fake,"['tomato', 'pizza']",10107.0
1622,38c6a73c3e1fc3d2_m02dl1y_7dee5358_OpenImages_Kandinsky_2_2,p2p/OpenImages/SDv4/on_a_clear_and_breezy_day.jpeg,bin1,fake,"['cowboy hat', 'hat']",6171.0
1648,e3ca083901d78d37_m03fwl_e729982c_OpenImages_Kandinsky_2_2,p2p/OpenImages/SDv4/munching_on.jpeg,bin3,fake,"['sheep', 'goat']",9887.0
1673,ebb9a47f006b7d49_m02vqfm_296c2d12_OpenImages_OpenJourney,p2p/OpenImages/SDv4/phone_attached_to.jpeg,bin3,fake,"['saucer', 'coffee cup', 'tea', 'coffee (drink)']",12302.0
1682,2ed68ac9c200a034_m029b3_0a389be9_OpenImages_StableDiffusion_v5,p2p/OpenImages/OJ/on_a_snowy_and_icy_day.jpeg,bin4,fake,['dice'],8728.0
1723,cfc964f6e8a96301_m01599_60dd36e0_OpenImages_OpenJourney,p2p/OpenImages/SDv4/and_a_pen.jpeg,bin5,fake,"['wine', 'bottle', 'beer']",6092.0
1744,5fdedcd2143479b3_m03q5c7_1b9393dd_OpenImages_StableDiffusion_XL,p2p/OpenImages/OJ/during_a_thunderstorm.jpeg,bin1,fake,"['saucer', 'coffee cup', 'bread']",3598.0
1748,6d1bfe7adfaf407d_m01nkt_9b7e162d_OpenImages_StableDiffusion_XL,p2p/ADE20K/OJ/rustic.jpeg,bin4,fake,"['hamburger', 'cheese']",2396.0
1749,875338d0d45abc20_m01z1kdw_f25f653a_OpenImages_OpenJourney,p2p/OpenImages/SDv4/during_a_coral_reef_restoration_dive_with_divers_replacing_damaged_coral.jpeg,bin5,fake,"['cocktail', 'orange (fruit)', 'juice', 'lemon (plant)']",5407.0
1763,5a26ee6c6175ae97_m0_cp5_f7940825_OpenImages_Kandinsky_2_2,p2p/OpenImages/SDv5/a_tripod.jpeg,bin4,fake,['oyster'],11659.0
1788,f7dc53f11acde989_m01dwwc_9c41602c_OpenImages_StableDiffusion_v4,p2p/OpenImages/SDv5/cream.jpeg,bin4,fake,['pancake'],12354.0
1794,31c66704f5623e96_m0cnyhnx_957547c9_OpenImages_OpenJourney,p2p/OpenImages/SDv4/pink_cotton_scarf.jpeg,bin5,fake,"['cattle', 'bull']",5819.0
1799,3928a399e08e1758_m026qbn5_4b39f480_OpenImages_Kandinsky_2_2,p2p/OpenImages/SDv4/at_a_farm.jpeg,bin5,fake,"['pillow', 'studio couch', 'couch']",6030.0
1800,b22737782d386723_m039xj__2cafd563_OpenImages_OpenJourney,p2p/OpenImages/SDv4/with_a_monocular.jpeg,bin1,fake,"['human ear', 'swimwear', 'human mouth']",1613.0
1804,b2ebfacff545ad09_m0242l_3826bd37_OpenImages_OpenJourney,p2p/OpenImages/SDv4/on_a_snowy_day.jpeg,bin1,fake,['coin'],8047.0
1806,409fb6aa7a58f7fc_m0k5j_812f4721_OpenImages_Kandinsky_2_2,p2p/OpenImages/SDv4/in_a_co-working_space.jpeg,bin3,fake,['aircraft'],7337.0
1817,e16d9f29e2462eea_m0jy4k_f3d9cda7_OpenImages_Kandinsky_2_2,p2p/OpenImages/SDv5/desert_landscape.jpeg,bin5,fake,"['bagel', 'doughnut']",6442.0
1828,5de7fc6ecb724cff_m07mhn_86811b89_OpenImages_StableDiffusion_XL,p2p/ADE20K/OJ/woods.jpeg,bin2,fake,"['tie', 'trousers']",1785.0
